Date,Open,High,Low,Close,Volume
7/25/2022,149.16,151.23,148.58,150.48,626449
7/26/2022,150.29,151.4,149.83,150.61,830303
7/27/2022,154,157.69,153.32,156.91,1443619
7/28/2022,156.65,160.45,156.12,159.27,944948
7/29/2022,159.42,163.25,159.42,162.23,1403242
8/2/2022,161.25,162.55,160.4,160.85,890243
8/3/2022,160.83,161.55,159.82,160.58,775409
8/4/2022,161.01,162.99,161.01,162.36,661753
8/5/2022,161.94,164.4,161.66,164.33,734277
8/8/2022,164.99,165.55,163.7,163.7,659858
8/9/2022,163.89,164.3,162.51,162.6,874589
8/10/2022,164.02,165.24,163.62,164.49,636721
8/11/2022,164.9,165.42,161.53,162.22,766379
8/12/2022,162.81,164.16,162.1,163.73,629106
8/15/2022,163.94,165.43,163.87,164.34,743764
8/16/2022,164.13,165.38,164.13,164.98,638289
8/17/2022,164.41,165.88,164.33,165.23,913120
8/18/2022,165.24,166.65,164.6,164.71,731203
8/19/2022,164.27,165.56,163.97,164.73,925134
8/22/2022,162.48,163.48,161.89,162.86,638216
8/23/2022,162.28,162.75,161.04,161.36,625648
8/24/2022,161.27,162.55,160.57,162.02,774210
8/25/2022,162.68,163.28,161.78,163.15,1021741
8/26/2022,163.41,163.84,160.84,160.99,656027
8/29/2022,160,161.4,159.3,159.77,753948
8/30/2022,159.85,160.32,155.65,155.97,840578
8/31/2022,156.12,157.15,155.58,156.19,1751034
9/1/2022,155.5,155.64,153.4,154.38,888859
9/2/2022,155.26,155.36,153.1,153.76,763579
9/6/2022,153.77,154.31,151.8,153.01,1375410
9/7/2022,152.46,155.63,152.4,155.53,862805
9/8/2022,154.71,157.48,154.56,156.3,1072554
9/9/2022,157.09,159.13,156.75,158.88,783352
9/12/2022,160.79,162.8,160.69,160.96,724958
9/13/2022,158.93,161.23,158.25,158.68,1095614
9/14/2022,158.81,158.97,156.58,157.89,850626
9/15/2022,158.05,159.71,156.35,156.87,1104112
9/16/2022,155.12,155.78,153.68,154.61,3358434
9/19/2022,153.91,156.47,153.8,156.16,812133
9/20/2022,156.7,156.86,154.59,156.18,614986
9/21/2022,156.61,156.61,153.83,153.87,734499
9/22/2022,153.67,154.2,152.89,153.51,739122
9/23/2022,152.05,152.99,150.08,150.97,1072533
9/26/2022,150.43,152.58,150.14,150.28,958801
9/27/2022,151,151.23,149.03,149.24,1414004
9/28/2022,148.45,153,147.03,152.35,1534494
9/29/2022,152,152,149.55,150.61,1053312
9/30/2022,150.81,151.3,149,149.18,1380342
10/3/2022,149.6,154.68,149.25,153.74,1143115
10/4/2022,156.05,156.81,154.12,156.29,1583630
10/5/2022,155.42,156.52,154.56,154.8,888511
10/6/2022,154.7,156.07,152.71,154.31,1114965
10/7/2022,152.62,153.12,150.03,150.85,1208136
10/11/2022,149.72,150.6,147.98,148.96,1487083
10/12/2022,149.35,150.4,147.73,147.82,1175430
10/13/2022,146,151.61,144.71,151.06,1055351
10/14/2022,152.08,152.57,148.33,148.6,944727
10/17/2022,148.72,153.36,148.11,152.65,1598683
10/18/2022,155.52,157.25,155.22,156.07,1199578
10/19/2022,155.78,156.47,153.58,155.52,1000717
10/20/2022,154.15,154.3,150.7,151.12,1211905
10/21/2022,151.04,154.63,150.17,153.96,1057380
10/24/2022,154.95,156.1,154.06,155.61,1211179
10/25/2022,154.69,157.85,154.68,157.25,1372826
10/26/2022,156.35,163.53,156.12,161.98,2388506
10/27/2022,162.32,163.34,159.4,160.01,1526820
10/28/2022,159.82,162.95,159.82,162.04,695066
10/31/2022,161.7,162.48,159.31,161.4,1419953
11/1/2022,163.15,163.76,159.52,160.76,679815
11/2/2022,159.95,162.91,158.9,159.06,899970
11/3/2022,158.14,161.35,158.13,159.15,735453
11/4/2022,160,162,159.58,160.67,692674
11/7/2022,160.65,162.31,160.45,162.06,614606
11/8/2022,162.37,165.05,162.24,163.26,1030094
11/9/2022,162.79,163.28,161.02,161.27,796842
11/10/2022,164.73,165.68,163.4,164.36,1005620
11/11/2022,165.25,166.31,160.35,161.97,992234
11/14/2022,162.33,163.63,161.46,161.51,820959
11/15/2022,163.44,163.44,160.05,161.27,829590
11/16/2022,161.01,163.98,160.92,163.65,1169502
11/17/2022,162.44,166.13,162.44,164.68,1016246
11/18/2022,165.87,166.7,165.01,166.49,967017
11/21/2022,166.34,167.26,165.41,167.01,1211546
11/22/2022,167.49,168.71,167.32,167.65,860256
11/23/2022,168.03,169.55,167.52,168.69,1555600
11/24/2022,169.18,170,169.02,169.14,235253
11/25/2022,169.11,171.37,168.69,169.17,852377
11/28/2022,169.5,171.48,169.5,170.13,1161198
11/29/2022,171.83,171.83,169.13,169.99,1478462
11/30/2022,170,172.95,169.69,172.69,2119942
12/1/2022,172.99,174.48,171.67,172.67,918156
12/2/2022,171.97,172.55,170.21,172.04,1712583
12/5/2022,171.04,172.78,170.44,172.35,1437844
12/6/2022,172.61,173.01,170.48,171.3,1325512
12/7/2022,170.11,171.81,169.44,170.37,1136257
12/8/2022,170.45,172.94,170.08,171.16,1602334
